risk_id,severity,risk_or_blocker,impact,classification,confidence,mitigation
RB-001,Critical,Clean execution depends on Gurobi installation and a valid license.,"Blocks optimizer, live sandbox, command center, API imports, dashboard solves, and full pipeline.",Unverified,High confidence,Provide documented solver installation/license preflight and a small solver smoke test.
RB-002,Critical,No automated tests protect existing validated behavior.,Any refactor can silently invalidate published results.,Broken,High confidence,Establish baseline tests and golden-result tolerances before code changes.
RB-003,High,The project currently has only synthetic operational evidence.,Real-hospital effectiveness and calibration cannot be claimed.,Unverified,High confidence,Maintain a strict synthetic-only claim boundary until credible data is introduced.
RB-004,High,The current API entry point is broken.,Frontend/backend separation and external integration cannot be demonstrated reliably.,Broken,High confidence,Repair packaging and verify with API smoke tests.
RB-005,High,Forecast validation is not temporal/grouped.,Reported predictive metrics may overstate future generalization.,Partially Implemented,High confidence,"Revalidate using time-ordered, scenario-held-out, and grouped splits."
RB-006,High,The digital-twin label exceeds current model fidelity.,Reviewers may challenge the project as a Markov simulator presented as a full digital twin.,Partially Implemented,High confidence,Use precise terminology and document fidelity boundaries.
RB-007,High,Robust-optimization terminology exceeds the mathematical implementation.,Research and interview claims may be challenged.,Partially Implemented,High confidence,Rename as uncertainty-adjusted optimization or implement formal robustness.
RB-008,High,The repository includes very large binary models and result artifacts.,"Git usability, cloning, review, and release management will degrade.",Broken,High confidence,Create an artifact retention and versioning policy.
RB-009,Medium,The 4-of-5 regime result is not statistically significant in the supplied headline table.,"The mean-comparison claim is valid, but strong superiority language is risky.",Validated,High confidence,"State it as descriptive performance across scenarios, not proven superiority."
RB-010,Medium,"No deployment, security, or observability foundation exists.",Enterprise readiness cannot be claimed.,Planned,High confidence,Keep positioning at research-grade decision-intelligence prototype until stabilized.
RB-011,Medium,The supplied full-pipeline evidence is historical and environment-specific.,Independent reproducibility remains uncertain.,Unverified,High confidence,"Rerun after locking the environment and preserve logs, hashes, and outputs."
RB-012,Medium,Several result groups and RL rollouts are duplicated.,Result provenance and scenario differentiation may be unclear.,Unverified,High confidence,Add run manifests and remove or relabel duplicates.
